Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Abacavir and lamivudine,190.0,177.67,177.67,177.67
Abatacept,3628.8,3393.08,3393.08,3393.08
Abiraterone,1367.5,1278.78,1278.78,1278.78
Absorbent Cottons,9.48,8.87,46.95,0.78
Acamprosate calcium,40.09,37.68,1121.89,0.26
Acarbose,30.7,28.83,171.68,1.49
Acebutolol hydrochloride,28.84,27.03,104.5,4.47
Aceclofenac,10.47,9.87,94.69,2.69
Acenocoumarol,6.93,6.54,86.52,0.46
Acetazolamide,10.81,10.21,1857.19,0.16
Acetic acid,7.87,7.38,73.08,3.83
Acetyl-l-carnitine,356.88,333.71,333.71,333.71
Acetylcysteine,56.88,53.24,1173.99,1.71
Aciclovir,8.89,8.38,664.66,0.1
Acipimox,51.28,48.06,108.05,6.85
Acitretin,59.8,56.01,691.14,2.97
Aclidinium bromide,103.57,96.87,2401.69,30.39
Aclidinium bromide/formoterol,111.87,104.64,1489.64,30.39
Acne Treatment,14.57,13.64,22.45,12.17
Acrivastine,26.25,24.59,209.57,1.86
Adalimumab,763.26,713.72,1208.42,329.38
Adapalene,30.52,28.56,322.88,15.36
Adapalene and benzoyl peroxide,44.13,41.29,1352.25,18.26
Addaven (Generic),55.0,51.44,51.44,51.44
Adefovir dipivoxil,252.22,235.85,235.85,235.85
Adhesive (Pastes/Sprays/Solutions),24.48,23.69,127.76,4.56
Adhesive Discs/Rings/Pads/Plasters,59.78,55.92,4663.3,0.39
Adhesive Dressing Remover Ster Silicone,35.77,33.46,791.98,0.51
Adhesive Removers (Sprays/Liquids/Wipes),33.77,31.59,3778.76,0.26
Adrenaline,137.74,128.82,2181.3,0.56
Agomelatine,39.98,37.47,215.29,2.31
Albendazole,143.99,134.65,318.22,19.9
Alclometasone dipropionate,26.27,24.58,67.45,16.87
Alcohol,4.0,3.78,72.28,0.66
Alendronic acid,312.73,292.65,6621.61,0.18
Alendronic acid/colecalciferol,39.21,36.68,255.97,3.99
Alfacalcidol,20.75,19.43,557.67,0.27
Alfentanil hydrochloride,20.26,18.98,260.21,0.7
Alfuzosin hydrochloride,26.1,24.54,561.97,0.13
Alginic acid compound preparations,18.96,17.8,1102.54,0.03
Alimemazine tartrate,387.23,362.11,4553.84,16.91
Alirocumab,420.0,392.75,942.53,157.2
Aliskiren,54.44,50.93,319.97,6.78
Alitretinoin,870.74,814.2,1384.95,461.66
Alkyl sulfate,3.23,3.3,40.1,2.43
Alkyl sulphate,9.33,8.74,108.85,4.73
Allopurinol,13.83,13.2,467.65,0.04
Almotriptan,36.74,34.37,569.68,7.49
Alogliptin,230.29,215.54,5647.63,1.0
Alogliptin/metformin,107.48,100.6,1866.33,3.23
Alprazolam,5.69,5.37,8.55,2.2
Alprostadil,64.66,60.49,893.2,6.87
Aluminium and magnesium and activated simeticone,7.37,6.91,59.86,1.2
Aluminium and magnesium and oxetacaine,38.78,36.75,182.54,11.74
Aluminium chloride,6.33,5.93,103.44,2.35
Aluminium hydroxide,12.8,12.08,12.08,12.08
Alverine citrate,8.13,7.74,127.68,0.15
Alverine citrate/simeticone,17.36,16.27,72.08,3.54
Amantadine hydrochloride,36.21,33.95,1570.87,0.36
Ambrisentan,215.75,201.84,353.14,50.55
Amiloride hydrochloride,41.87,39.22,594.15,1.63
Amiloride hydrochloride with loop diuretics,98.73,92.36,418.92,5.72
Aminophylline hydrate,4.12,3.96,33.7,1.23
Aminosalicylic acid,331.0,309.52,618.99,20.75
Amiodarone hydrochloride,5.13,4.89,1118.33,0.06
Amisulpride,15.08,14.3,978.63,0.17
Amitriptyline hydrochloride,15.01,14.33,2296.89,0.02
Amlodipine,41.5,39.85,1382.92,0.02
Amobarbital sodium,158.33,148.31,326.77,18.05
Amorolfine hydrochloride,14.19,13.3,127.47,4.89
Amoxicillin,18.97,17.87,720.52,0.18
Amoxicillin sodium,32.91,30.85,53.88,8.99
Amphotericin,710.73,664.58,1515.18,118.04
Ampicillin,142.6,133.37,740.71,24.13
Amylmetacresol,5.15,4.84,30.21,1.24
Anagrelide hydrochloride,493.39,461.44,1134.86,53.07
Anal Irrigation System,215.71,201.69,5243.69,2.91
Anal Plugs,101.96,95.35,691.46,2.31
Analgesics with anti-emetics,9.98,9.36,98.91,0.58
Anastrozole,10.01,9.46,1346.23,0.15
Antazoline,4.52,4.24,25.08,3.13
Apalutamide,1379.71,1290.14,2557.34,22.95
Apixaban,775.4,725.75,24679.17,1.0
Apomorphine hydrochloride,699.45,657.22,3281.36,13.78
Apomorphine hydrochloride hemihydrate,678.96,634.87,2300.32,115.01
Apraclonidine,59.46,55.62,1019.12,6.07
Apremilast,1094.54,1023.5,3306.13,247.99
Aprepitant,338.92,316.94,1655.19,29.57
Arachis oil,201.34,188.28,2726.0,3.0
Aripiprazole,22.33,21.06,1442.81,0.14
Arm Sling/Bandages,44.34,41.47,2954.83,0.1
Arnica montana,9.45,8.85,31.9,3.87
Artificial saliva,5.84,5.48,94.86,2.77
Ascorbic acid,77.57,72.74,808.23,0.38
Asenapine,100.21,93.81,191.89,16.1
Aspirin,20.97,20.37,860.33,0.01
Aspirin and caffeine,9.4,8.8,8.8,8.8
Aspirin combined preparations,5.43,5.13,6.14,2.97
Atenolol,9.56,9.15,272.41,0.03
Atenolol with calcium channel blocker,23.72,22.25,42.93,7.39
Atomoxetine hydrochloride,34.17,32.0,794.84,0.62
Atorvastatin,51.09,48.95,3847.57,0.03
Atovaquone,607.96,568.48,1819.15,454.77
Atropine sulfate,164.6,153.94,2113.87,1.09
Avanafil,30.72,28.74,221.07,4.72
Azathioprine,5.66,5.4,1075.3,0.14
Azelaic acid,10.14,9.5,119.11,4.2
Azelastine hydrochloride,16.14,15.11,432.01,5.98
Azilsartan medoxomil,30.39,28.43,94.26,6.84
Azithromycin,11.45,10.79,471.17,0.33
Baclofen,7.51,7.18,1252.97,0.03
Bacterial Decolonisation Products,5.79,5.43,30.42,3.58
Bag Closures,14.16,13.24,65.22,0.46
Bag Covers,31.93,29.85,252.47,7.72
Balsalazide sodium,57.58,53.94,331.04,3.18
Bambuterol hydrochloride,51.94,48.7,162.61,13.63
Baricitinib,1076.48,1006.57,2259.7,27.01
Beclometasone dipropionate,189.09,176.91,17910.28,0.95
Beclometasone dipropionate (Systemic),67.82,63.46,211.57,7.16
Beclometdiprop/formoterol/glycopyrronium,621.31,581.1,19603.57,41.61
Belladonna alkaloids,24.54,22.97,110.73,2.36
Belts,55.54,51.98,954.3,3.49
Bempedoic acid,96.75,90.49,1814.41,7.52
Bempedoic acid/Ezetimibe,108.7,101.66,4665.66,12.96
Bendroflumethiazide,17.16,16.48,1282.96,0.02
Benperidol,119.58,111.98,561.96,16.84
Benzalkonium chloride,9.52,8.93,262.01,1.66
Benzatropine mesilate,233.34,218.2,473.8,22.56
Benzbromarone,93.4,87.39,221.9,33.38
Benzocaine,6.67,6.25,66.9,2.53
Benzoic acid,428.03,400.24,457.48,342.99
Benzoin,1.58,1.59,1.59,1.59
Benzoyl peroxide,12.62,11.82,70.93,1.02
Benzoyl peroxide and clindamycin phosphate,39.37,36.84,1032.58,12.29
Benzydamine hydrochloride,14.94,14.0,463.8,2.47
Benzylpenicillin sodium (Penicillin G),4.07,3.84,5.64,2.81
Betacarotene,405.92,379.59,673.83,9.5
Betahistine hydrochloride,5.64,5.43,283.9,0.12
Betaine anhydrous,888.97,836.87,2069.96,324.47
Betamethasone,20.96,19.66,34.6,4.71
Betamethasone esters,13.69,12.83,284.7,2.02
Betamethasone sodium phosphate,18.01,16.88,380.69,0.65
Betamethasone valerate,14.87,13.93,796.86,1.07
Betaxolol,5.99,5.62,64.39,1.78
Bethanechol chloride,23.72,22.31,50.99,11.25
Bezafibrate,17.5,16.53,336.81,0.35
Bicalutamide,6.29,5.95,448.84,0.07
Bictegravir/emtricitabine/tenofovir alafenamide,879.51,822.39,822.39,822.39
Bifonazole,4.7,4.41,9.69,3.23
Bilastine,9.85,9.24,44.91,2.73
Bimatoprost,33.7,31.54,647.62,2.84
Biphasic insulin aspart,137.92,129.01,2404.08,5.5
Biphasic insulin lispro,96.61,90.37,1274.84,5.62
Biphasic isophane insulin,105.64,98.83,2760.23,3.39
Bisacodyl,8.08,7.78,1692.36,0.15
Bisoprolol fumarate,15.23,14.77,613.43,0.03
Boric acid,461.2,431.25,840.61,171.43
Bosentan,3101.33,2899.89,4539.02,1412.12
Botulinum toxin type A,327.83,307.05,775.37,67.34
Bowel cleansing solutions,42.65,39.92,774.98,2.81
Brimonidine tart (Rosacea),41.91,39.2,252.06,31.5
Brimonidine tartrate,16.23,15.2,133.43,1.41
Brinzolamide,17.83,16.72,266.62,2.22
Brinzolamide and timolol,17.08,15.99,196.55,3.36
Brinzolamide/brimonidine,23.11,21.63,276.37,8.63
Brivaracetam,196.1,183.44,2072.97,2.28
Bromfenac,12.1,11.33,63.64,7.95
Bromocriptine,175.97,164.61,3142.18,7.13
Budesonide,125.04,116.96,10370.15,1.37
Bumetanide,8.91,8.53,2962.25,0.07
Bupivacaine hydrochloride,14.97,14.02,300.3,0.82
Buprenorph hydrochloride/naloxone hydrochloride,81.19,76.42,926.45,0.96
Buprenorphine,60.98,57.08,1727.68,0.29
Buprenorphine hydrochloride,131.96,124.94,15471.7,0.28
Bupropion hydrochloride,53.46,50.07,1171.79,1.41
Buserelin,98.64,92.28,196.68,30.89
Buspirone hydrochloride,27.21,25.61,2783.74,0.28
Busulfan,81.78,76.86,87.52,66.2
Butobarbital,282.91,264.76,264.99,264.53
C1-Esterase inhibitor,2010.0,1879.45,2505.92,1252.97
Cabergoline,74.29,69.48,615.37,28.09
Caffeine,8.95,8.55,20.18,3.91
Calamine,2.19,2.07,20.09,0.25
Calcipotriol,81.95,76.65,2003.86,5.4
Calcitonin (Salmon),440.0,411.43,617.14,205.72
Calcitriol,19.04,17.9,361.88,0.79
Calcium acetate,12.02,11.5,166.65,0.49
Calcium acetate/magnesium carbonate,22.59,21.76,147.4,2.73
Calcium carbonate,10.72,10.18,1075.78,0.27
Calcium chloride,9.89,9.25,9.26,9.25
Calcium folinate,276.73,258.83,5438.35,9.72
Calcium gluconate,44.96,42.08,441.32,4.4
Calcium lactate,5.62,5.32,6.35,4.29
Calcium polystyrene sulfonate,172.47,161.28,460.97,76.82
Camellia sinensis extract,39.0,36.48,36.48,36.48
Canagliflozin,150.61,141.02,5022.37,1.34
Canagliflozin/metformin,76.38,71.52,843.31,4.39
Candesartan cilexetil,17.48,16.49,642.15,0.04
Cannabidiol,2192.54,2070.38,3180.26,1044.95
Capsaicin,39.75,37.21,497.16,13.63
Captopril,46.55,43.58,2740.66,0.34
Carbamazepine,12.45,11.78,12051.7,0.05
Carbimazole,9.53,9.11,628.26,0.04
Carbocisteine,16.94,16.2,600.49,0.02
Carbomer,10.53,9.86,42.32,7.04
Carbomer 940/980,11.94,11.2,215.7,0.28
Carbomer 974P,8.04,7.53,67.42,4.21
Cariprazine,102.39,95.82,450.86,18.9
Carmellose sodium,16.07,15.04,690.08,0.21
Carvedilol,3.76,3.58,204.93,0.14
Castor oil,4.86,4.77,4.77,4.77
Catheter Maintenance Products,48.26,45.13,1314.86,2.95
Catheter Valves,27.04,25.32,617.79,1.59
Catheters,171.63,160.48,4047.05,0.39
Cefaclor,19.54,18.3,340.42,1.33
Cefadroxil,20.54,19.29,62.79,10.58
Cefalexin,5.42,5.16,146.28,0.18
Cefixime,31.46,29.48,197.94,1.8
Cefradine,16.44,15.49,136.82,0.84
Ceftazidime pentahydrate,73.33,68.63,246.57,15.71
Ceftriaxone sodium,42.21,39.48,179.35,4.5
Cefuroxime axetil,36.86,34.5,355.16,2.54
Cefuroxime sodium,209.93,196.37,459.25,30.8
Celecoxib,16.98,15.98,400.09,0.21
Celiprolol hydrochloride,21.45,20.1,148.38,1.02
Cenobamate,185.93,176.78,734.48,23.08
Cervical Collar,3.01,2.82,4.63,2.3
Cetirizine hydrochloride,26.24,24.86,1670.97,0.03
