Prescribers,Novo
0-19 PUBLIC HEALTH SERVICE HARTLEPOOL,Sim
7 DAY ACCESS LITTLEBOROUGH HUB,Sim
7 DAY ACCESS PHOENIX HUB,Sim
A&E GPS,Sim
ABOUT HEALTH LN DERMATOLOGY,Sim
ACTIVE RECOVERY (CICS),Sim
ACUTE ADULT MENTAL HEALTH (WEST),Sim
ACUTE AND URGENT CARE,Sim
ACUTE GP REFERRAL SERVICE,Sim
ACUTE MEDICAL UNIT (RBH),Sim
ACUTE MEDICINE DIR.,Sim
ACUTE MENTAL HEALTH,Sim
ADEL BECK SCH,Sim
ADULT ADHD CHESHIRE PRIORY SERVICE,Sim
ADULT ADHD HALTON,Sim
ADULT ADHD KNOWSLEY NMP,Sim
ADULT LEARNING DISABILITY SERVICE,Sim
AIREBOROUGH COMMUNITY CARE,Sim
ALDINE HOUSE SCH,Sim
AMBER VALLEY HEALTH,Sim
ANGLIA COMMUNITY EYE SERVICE,Sim
ANTICOAGULATION - INTRAHEALTH,Sim
ANTICOAGULATION SERVICE - GR PHARMACY,Sim
AQP ANTICOAG SANDWELL HOSPITAL,Sim
ARDEN MH ACUTE TEAM,Sim
ASHFORD ANTICOAGULATION SERVICE,Sim
ASHFORD GROUP,Sim
ASPIRO HEALTHCARE,Sim
ASR MENTAL HEALTH SERVICE,Sim
ATKINSON SCH,Sim
B&I PCN HUB,Sim
BARKANTINE WALK-IN CTR,Sim
BARNSLEY HOSPICE,Sim
BAY MEDICAL GROUP EXTENDED OOH,Sim
BECKENHAM PCN EXTENDED SERVICE,Sim
BEGGARWOOD SURGERY - NHUC,Sim
BELLINGHAM GREEN SURGERY,Sim
BERKSHIRE OPHTHALMOLOGY SERVICE,Sim
BHFT (WAM),Sim
BI-BOROUGH ALCOHOL SERVICE,Sim
BINGLEY DERMATOLOGY CLINIC,Sim
BISHOPS CASTLE MEDICAL PRACTICE,Sim
BISHOPS CASTLE SURGERY,Sim
BMI BEARDWOOD HOSPITAL,Sim
BMI BEAUMONT HOSPITAL,Sim
BMI FAWKHAM MANOR HOSPITAL,Sim
BMI-SHIRLEY OAKS HOSPITAL,Sim
BMI-THE BLACKHEALTH HOSPITAL,Sim
BMI-THE SLOANE HOSPITAL,Sim
BOGNOR HOSPITAL MINOR INJURIES UNIT,Sim
BRACE STREET HC- MAHBUB (M91659),Sim
BRENT RAPID RESPONSE - CLCH,Sim
BRIGHTON STATION WALK-IN,Sim
BRITANNIA SUITE,Sim
BROMLEY CONNECT EXTENDED SERVICE,Sim
BROMLEY DIABETES SERVICE (BECKENHAM),Sim
BROMLEY DIABETES SERVICE (ORPINGTON),Sim
BROOKLANDS,Sim
BROUGHTON CORNER FAMILY PRACTICE,Sim
BTH NHS FOUNDATION TRUST,Sim
BURNLEY LOCALITY NMPS,Sim
CADU- GP HEALTH PARTNERS LTD,Sim
CAMHS - R&B,Sim
CAMHS - WORCESTER,Sim
CANTERBURY-COASTAL GROUP,Sim
CARDIOLOGY SERVICE,Sim
CARE HOME LIAISON TEAM,Sim
CATARACT SERVICE AT EVMC,Sim
CCS - PETERBOROUGH ICASH SERVICE,Sim
CCS HEALTH VISITORS (SOUTH),Sim
CCS-CONTRACEPTION & SEXUAL HLTH SERVICE,Sim
"CHCP - HESSLE, BROUGH, COTT, ANLABY",Sim
CHCP - POCK & GOOLE LOC TEAM,Sim
CHICHESTER MIAMI GP ACCESS HUB,Sim
CHILD DEVELOPMENT TEAM HOUNSLOW,Sim
CHILDREN'S HOSPICE SOUTH WEST,Sim
CHOICE PLUS,Sim
CHP LTD - FIELD VIEW,Sim
CHS URGENT CARE CENTRE,Sim
CIRCLE INTEGRATED CARE,Sim
CITY-EARLY INTERVENTION IN PSYCHOSIS,Sim
CLARE LODGE SECURE CHILDREN'S HOME,Sim
CLCH DIABETES - MERTON,Sim
CLEVEDON MINOR INJURY UNIT,Sim
CLIFTON PARK HOSPITAL,Sim
COASTAL AND RURAL HEALTH PARTNERSHIP,Sim
COMM ADULT MENTAL HEALTH (OPEN DOOR),Sim
COMM DIABETES CLINIC,Sim
COMM GYNAECOLOGY CLINIC2,Sim
COMMUNITY COPD SERVICES,Sim
COMMUNITY CVD SERVICE,Sim
COMMUNITY MAS BICS,Sim
COMMUNITY NURSES (IPCT) B&H CENTRAL,Sim
COMMUNITY NURSES (IPCT) B&H EAST,Sim
COMMUNITY NURSING (HARROGATE),Sim
COMMUNITY OPHTHALMOLOGY TEAM,Sim
COMMUNITY PAEDIATRIC NURSING,Sim
COMMUNITY PAEDS,Sim
COMMUNITY PALLIATIVE CARE MEDICAL TEAM,Sim
COMMUNITY PALLIATIVE CARE TEAM,Sim
COMMUNITY PRESCRIBERS,Sim
COMMUNITY RESPIRATORY SERVICE,Sim
COMMUNITY RESPIRATORY TEAM,Sim
COMMUNITY UROLOGY CLINIC,Sim
CONIFER HOUSE SEXUAL HEALTH CLINIC,Sim
CONNECT HEALTH WOLVERHAMPTON MSK,Sim
CONSULTANT - ST BENEDICT,Sim
CONTINENCE SERVICE CGH,Sim
COOK BF,Sim
COVENTRY NAVIGATION 1 PCN EXTENDED HOURS,Sim
COVID-19 URGENT EYECARE SERVICE CHELT 2,Sim
CPFT SPECIALIST SERVICE ELY AND FENS,Sim
CPFT SPECIALIST SERVICE HUNTS,Sim
CPT CRAWLEY,Sim
CRANKHALL LANE MEDICAL CENTRE,Sim
CRAVEN CENTRE - CRAVEN CMHT,Sim
CRHTT EAST,Sim
CRHTT WEST,Sim
CSP AT SPA,Sim
CSS GYNAECOLOGY SERVICE,Sim
CWP (WEST) PHYSICAL HEALTH,Sim
CYPS - ACORN HOUSE,Sim
DAART,Sim
DEAL DERMATOLOGY CLINIC,Sim
DERMATOLOGY CLINIC,Sim
DERMATOLOGY GPSI DEVONPORT HC,Sim
DGSS INPATIENT SERVICES - SITTINGBOURNE,Sim
DIABETES CARE FOR YOU HWLH,Sim
DIABETES CLINIC,Sim
DIABETES COMMUNITY SERVICE,Sim
DIABETES SPECIALIST NURSE SERVICE,Sim
