Prescriber,Substancia,Quantidade
(FRACTURE CLINIC) NORTH OOH,Amoxicillin,353
(IRLAM) SALFORD CARE CTRS MEDICAL PRACTI,Atorvastatin,309
(OUT PATIENT DEPARTMENT) NORTH OOH,Morphine sulfate,3
0-19 EAST CHESHIRE HEALTH VISITORS,Emollients,3
0-19 PUBLIC HEALTH SERVICE HARTLEPOOL,Miconazole nitrate,2
0-25 HEALTH AND WELLBEING KNOWSLEY,Buprenorphine,1
1 TO 1 CENTRE,Clobetasol propionate,1
1/MONTON MEDICAL PRACTICE,Atorvastatin,813
1/SALFORD MEDICAL PRACTICE,Atorvastatin,418
15 SEFTON ROAD,Atorvastatin,570
168 MEDICAL GROUP,Atorvastatin,1577
19 BEAUMONT STREET SURGERY,Atorvastatin,519
240 WEXHAM ROAD,Atorvastatin,516
27@NORTHGATE,Atorvastatin,210
28@NORTHGATE,Atorvastatin,208
3/LOWER BROUGHTON MEDICAL PRACTICE,Atorvastatin,1083
3/SPRINGFIELD HOUSE MEDICAL PRACTICE,Atorvastatin,1662
301 EAST STREET SURGERY,Atorvastatin,410
3D MEDICAL CENTRE,Atorvastatin,106
3VH RHEUMATOLOGY,Methotrexate,40
3W HEALTH,Atorvastatin,1965
4 SEASONS MEDICAL CENTRE,Atorvastatin,277
42 KINGSWAY,Atorvastatin,739
49 MARINE AVENUE SURGERY,Atorvastatin,614
4DONCASTER PCN,Permethrin,1
7 DAY ACCESS LITTLEBOROUGH HUB,Amoxicillin,5
7 DAY ACCESS MIDDLETON HC,Amoxicillin,13
7 DAY ACCESS PHOENIX HUB,Amoxicillin,1
7 DAY ACCESS ROCHDALE INFIRMARY HUB,Doxycycline hyclate,1
7 DAY GP SERVICE,Amoxicillin,52
8 TO 8 TOP-UP HUB ERITH,Amoxicillin,53
8 TO 8 TOP-UP HUB QMH,Amoxicillin,11
A & E NON MEDICAL PRESCRIBERS,Flucloxacillin sodium,10
A&E GPS,Flucloxacillin sodium,7
ABBAMOOR SURGERY,Atorvastatin,166
ABBEY DALE MEDICAL CENTRE,Omeprazole,666
ABBEY FIELD MEDICAL CENTRE,Atorvastatin,1614
ABBEY GRANGE MEDICAL PRACTICE,Atorvastatin,687
ABBEY HOUSE MEDICAL PRACTICE,Atorvastatin,2032
ABBEY MEADS MEDICAL PRACT,Atorvastatin,1348
ABBEY MEDICAL CENTRE,Atorvastatin,2869
ABBEY MEDICAL GROUP,Atorvastatin,1272
ABBEY MEDICAL PRACTICE,Atorvastatin,4277
ABBEY ROAD MEDICAL PRACTICE,Atorvastatin,680
ABBEY ROAD SURGERY,Atorvastatin,1241
ABBEY SURGERY,Omeprazole,1751
ABBEY WOOD SURGERY,Atorvastatin,467
ABBEYSLADE PMS (DR CHAND),Atorvastatin,293
ABBEYVIEW SURGERY,Atorvastatin,1129
ABBEYWELL SURGERY,Ramipril,1323
ABBOTS BROMLEY SURGERY,Atorvastatin,385
ABBOTSWOOD MEDICAL CENTRE,Atorvastatin,274
ABBOTTSWOOD MEDICAL CENTRE,Atorvastatin,1146
ABERCROMBY FAMILY PRACTICE,Atorvastatin,450
ABERFELDY PRACTICE,Atorvastatin,583
ABERNETHY HOUSE SURGERY,Atorvastatin,931
ABH MANCHESTER & TRAFFORD CDS,Isotretinoin,292
ABINGDON FAMILY HEALTH CARE CENTRE,Atorvastatin,326
ABINGTON MEDICAL CENTRE,Atorvastatin,1248
ABINGTON PARK SURGERY,Atorvastatin,1517
ABOUT HEALTH LN DERMATOLOGY,Fluorouracil (Sunscreen),7
ABOUT HEALTH LTD,Emollients,162
ABRIDGE SURGERY,Influenza,920
ACCIDENT AND EMERGENCY WWL,Co-amoxiclav (Amoxicillin/clavulanic acid),8
ACCT 2,Flucloxacillin sodium,2
ACE LTD OOH,Methotrexate,188
ACHE CLINIC,Clobetasol propionate,36
ACHIEVE BOLTON RECOVERY SERVICE,Methadone hydrochloride,1728
ACKLAM MEDICAL CENTRE,Atorvastatin,1096
ACLE MEDICAL PARTNERSHIP,Atorvastatin,1111
ACOCKS GREEN MEDICAL CENTRE,Atorvastatin,449
ACORN MEDICAL CENTRE,Atorvastatin,375
ACORN MEDICAL PRACTICE,Atorvastatin,300
ACORN PRACTICE,Omeprazole,297
ACORN SURGERY,Atorvastatin,890
ACORNS CHILDREN'S HOSPICE,Glycopyrronium bromide,1
ACORNS CHILDRENS HOSPICE WALSALL,Baclofen,1
ACRE SURGERY,Atorvastatin,333
ACREFIELD SURGERY,Atorvastatin,148
ACTIVE RECOVERY (CICS),Skin Fillers And Protectives,32
ACTON LANE MEDICAL CENTRE,Atorvastatin,103
ACTON TOWN MEDICAL CENTRE,Atorvastatin,145
ACUTE ADULT MENTAL HEALTH (WEST),Methylphenidate hydrochloride,9
ACUTE AND URGENT CARE,Diazepam,3
ACUTE GP REFERRAL SERVICE,Rivaroxaban,5
ACUTE LIAISON PSYCHIATRY SERVICE (ALPS),Sertraline hydrochloride,2
ACUTE MEDICAL UNIT (RBH),Aspirin,2
ACUTE MEDICINE DIR.,Clarithromycin,2
ACUTE MENTAL HEALTH,Methylphenidate hydrochloride,14
ADAM HOUSE MEDICAL CENTRE,Atorvastatin,390
ADDACTION WIGAN & LEIGH (LEIGH),Methadone hydrochloride,603
ADDACTION WIGAN & LEIGH (WIGAN),Methadone hydrochloride,734
ADDERLEY GREEN SURGERY,Atorvastatin,880
ADDICTIONS SERVICE,Methadone hydrochloride,1507
ADDINGHAM SURGERY,Atorvastatin,472
ADDINGTON MEDICAL CENTRE,Atorvastatin,422
ADDINGTON MEDICAL PRACTICE,Levothyroxine sodium,554
ADDINGTON ROAD SURGERY,Atorvastatin,495
ADDISON HOUSE - HAQUE PRACTICE,Atorvastatin,1376
ADDISON ROAD MEDICAL PRACTICE,Atorvastatin,675
ADEL BECK SCH,Sertraline hydrochloride,9
ADELAIDE MEDICAL CENTRE,Atorvastatin,1006
ADELAIDE STREET SURGERY,Atorvastatin,1898
ADHD CLINIC,Lisdexamfetamine dimesylate,15
ADHD SERVICE - CLINICAL PARTNERS,Atomoxetine hydrochloride,2
ADHD SPECIALIST NURSING TEAM,Methylphenidate hydrochloride,337
ADLER JS-THE SURGERY,Atorvastatin,303
ADLINGTON MEDICAL CENTRE,Atorvastatin,595
ADSHALL ROAD MEDICAL PRAC,Atorvastatin,433
ADULT ADHD CHESHIRE PRIORY SERVICE,Lisdexamfetamine dimesylate,5
ADULT ADHD CLINIC,Lisdexamfetamine dimesylate,170
ADULT ADHD HALTON,Lisdexamfetamine dimesylate,36
ADULT ADHD KNOWSLEY,Lisdexamfetamine dimesylate,54
ADULT ADHD KNOWSLEY NMP,Lisdexamfetamine dimesylate,15
ADULT ADHD SERVICE,Lisdexamfetamine dimesylate,138
ADULT ADHD SERVICE NMP 1,Methylphenidate hydrochloride,22
ADULT ADHD WIGAN,Methylphenidate hydrochloride,141
ADULT COMMUNITY NURSING,Wound Management & Other Dressings,1387
ADULT COMMUNITY NURSING SERVICE,Wound Management & Other Dressings,2
ADULT COMMUNITY SERVICES,Furosemide,2
ADULT DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1226
ADULT LD COMM SERVICES NW,Lisdexamfetamine dimesylate,30
ADULT LEARNING DISABILITY SERVICE,Sertraline hydrochloride,4
ADULT MENTAL HEALTH COMMUNITY,Methylphenidate hydrochloride,52
ADULT MH COMMUNITY - LYMEBROOK,Quetiapine,28
ADULT MH COMMUNITY - SUTHERLAND CENTRE,Quetiapine,28
ADUR HEALTH PARTNERSHIP,Atorvastatin,1960
ADUR MIAMI GP ACCESS HUB,Flucloxacillin sodium,8
AEGIS MEDICAL CENTRE,Atorvastatin,505
AELFGAR SURGERY,Atorvastatin,587
AGEING WELL,Carbocisteine,2
AILSA CRAIG MEDICAL CENTRE,Atorvastatin,611
AILSWORTH MEDICAL CENTRE,Atorvastatin,460
AINSDALE MEDICAL CENTRE,Atorvastatin,1120
AINSDALE VILLAGE SURGERY,Atorvastatin,410
AINTREE PARK GROUP PRACTICE,Atorvastatin,1483
AINTREE ROAD MEDICAL CENTRE,Atorvastatin,200
AIR BALLOON SURGERY,Atorvastatin,769
AIRE VALLEY SURGERY,Atorvastatin,701
AIREBOROUGH COMMUNITY CARE,Emollients,2
AIREBOROUGH FAMILY PRACTICE,Atorvastatin,549
AKERMAN MEDICAL PRACTICE,Atorvastatin,315
AL FAL MEDICAL GROUP,Atorvastatin,416
AL-SHAFA MEDICAL CENTRE,Atorvastatin,717
AL-SHIFA MEDICAL CENTRE,Atorvastatin,222
AL-WAQAS MEDICAL CENTRE,Atorvastatin,524
ALBANY HOUSE MEDICAL CENTRE,Atorvastatin,1625
ALBANY HOUSE SURGERY,Atorvastatin,395
ALBANY PRACTICE,Atorvastatin,586
ALBANY SURGERY,Atorvastatin,728
ALBERT ROAD SURGERY,Atorvastatin,545
ALBION HEALTH CENTRE,Atorvastatin,804
ALBION MEDICAL PRACTICE,Atorvastatin,916
ALBION PLACE MEDICAL PRACTICE,Atorvastatin,813
ALBION STREET GROUP PRACTICE,Atorvastatin,730
ALBION SURGERY,Atorvastatin,483
ALBRIGHTON MEDICAL PRACT,Atorvastatin,910
ALCESTER HEALTH CENTRE,Omeprazole,436
ALCHESTER MEDICAL GROUP,Atorvastatin,1294
ALCONBURY SURGERY,Omeprazole,1220
ALDBOROUGH SURGERY,Amlodipine,279
ALDERLEY EDGE MEDICAL CENTRE,Atorvastatin,642
ALDERMOOR SURGERY,Atorvastatin,423
ALDERSBROOK MEDICAL CENTRE,Atorvastatin,370
ALDERWOOD MEDICAL PRACTICE,Atorvastatin,639
ALEX CENTRE UNREGISTERED WIC,Amoxicillin,1
ALEXANDER HOUSE SURGERY,Atorvastatin,715
ALEXANDRA & CRESTVIEW SURGERIES,Atorvastatin,1163
ALEXANDRA GROUP MED PRACT,Atorvastatin,657
ALEXANDRA MEDICAL CENTRE,Atorvastatin,215
ALEXANDRA SURGERY,Atorvastatin,284
ALFRED SQUIRE ROAD SURGERY,Atorvastatin,862
ALICE HOUSE HOSPICE,Morphine sulfate,12
ALL SAINTS MEDICAL CENTRE PMS,Atorvastatin,321
ALL SAINTS SURGERY,Atorvastatin,448
ALLERTON MEDICAL CENTRE,Atorvastatin,928
ALLESLEY PARK MEDICAL CTR,Omeprazole,661
ALLESLEY VILLAGE SURGERY,Atorvastatin,501
ALLIANCE TEACHING PRACTICES,Atorvastatin,784
ALLPORT MEDICAL CENTRE,Atorvastatin,402
ALMA MEDICAL CENTRE,Atorvastatin,1193
ALMA ROAD SURGERY,Atorvastatin,1666
ALMOND ROAD SURGERY,Omeprazole,585
ALMONDSBURY SURGERY,Atorvastatin,329
ALNWICK MEDICAL GROUP,Atorvastatin,2573
ALPERTON MEDICAL CENTRE,Atorvastatin,524
ALPHA MEDICAL PRACTICE,Atorvastatin,539
ALPINE HOUSE SURGERY,Atorvastatin,812
ALRESFORD SURGERY,Atorvastatin,899
ALREWAS,Atorvastatin,471
ALSTON MEDICAL PRACTICE,Atorvastatin,281
ALTON STREET SURGERY,Omeprazole,702
ALTON SURGERY,Atorvastatin,353
ALTRINCHAM MEDICAL PRACTICE,Atorvastatin,496
ALUM ROCK MEDICAL CENTRE,Atorvastatin,784
ALVANLEY FAMILY PRACTICE,Atorvastatin,551
ALVASTON MEDICAL CENTRE,Atorvastatin,1003
ALVELEY MEDICAL PRACTICE,Atorvastatin,357
ALVERTHORPE,Atorvastatin,413
ALWOODLEY MEDICAL CENTRE,Atorvastatin,1743
AMAANAH MEDICAL PRACTICE,Atorvastatin,252
AMBAR MEDICAL CENTRE,Metformin hydrochloride,130
AMBER VALLEY HEALTH,Amoxicillin,3
AMBLESIDE HEALTH CENTRE,Atorvastatin,797
AMBROSE AVENUE GROUP PRACTICE,Levothyroxine sodium,1593
AMERSHAM HEALTH CENTRE,Atorvastatin,528
AMERSHAM VALE TRAINING PRACTICE,Atorvastatin,271
AMHERST MEDICAL PRACTICE,Atorvastatin,1116
AMICUS HEALTH,Omeprazole,1235
AMMONITE HEALTH PARTNERSHIP,Atorvastatin,2625
AMPLEFORTH SURGERY,Atorvastatin,530
AMPTHILL PRACTICE,Atorvastatin,512
AMWELL GROUP PRACTICE,Influenza,419
AMWELL SURGERY,Atorvastatin,1245
ANCHOR MEDICAL PRACTICE,Lansoprazole,449
ANCOATS URBAN VILLAGE MEDICAL PRACTICE,Atorvastatin,774
ANCORA MEDICAL PRACTICE,Atorvastatin,2264
ANDAMAN SURGERY,Atorvastatin,434
ANDOVER MEDICAL CENTRE,Omeprazole,247
ANERLEY SURGERY,Atorvastatin,182
ANFIELD GROUP PRACTICE,Influenza,985
ANGEL HILL SURGERY,Atorvastatin,1425
ANGEL LANE SURGERY,Atorvastatin,1017
ANGEL LODGE,Phenoxymethylpenicillin (Penicillin V),9
ANGEL SURGERY,Amlodipine,371
ANGLIA COMMUNITY EYE SERVICE,Latanoprost,3
ANN MARIE HOWES CENTRE,Skin Fillers And Protectives,56
ANNANDALE MEDICAL CENTRE,Atorvastatin,505
ANNFIELD PLAIN SURGERY,Atorvastatin,557
ANSDELL MEDICAL CENTRE,Atorvastatin,1145
ANTICOAG SERVICE SOUTH DOC,Warfarin sodium,331
ANTICOAGULATION - HOLLYWOOD PRACTICE,Warfarin sodium,3
ANTICOAGULATION - INTRAHEALTH,Amoxicillin,6
ANTICOAGULATION SERVICE - GR PHARMACY,Warfarin sodium,132
APEX MEDICAL CENTRE,Atorvastatin,674
APOLLO COURT MEDICAL CENTRE,Colecalciferol,6
APOLLO SURGERY,Atorvastatin,142
APPLEBY MEDICAL PRACTICE,Atorvastatin,533
APPLETREE MEDICAL PRACTICE,Atorvastatin,624
APPLIANCE PRESCRIPTION SERVICE,Night Drainage Bags,762
APSLEY SURGERY,Atorvastatin,1026
AQP ANTICOAG LEY HILL SURGERY,Amlodipine,1
AQP ANTICOAG QE HERITAGE BUILDING,Warfarin sodium,555
AQP ANTICOAG RIDGACRE MEDICAL CENTRE,Eye Products,1
AQP ANTICOAG SANDWELL HOSPITAL,Warfarin sodium,369
AQP ANTICOAG SOUTH DOC DOVECOTE SURGERY,Atomoxetine hydrochloride,1
AQP ANTICOAG WARREN FARM HEALTH CENTRE,Flucloxacillin sodium,1
AQP SLH CROFT MC,Citalopram hydrobromide,1
AR-RAZI MEDICAL CENTRE,Atorvastatin,130
ARBURY MEDICAL CENTRE,Atorvastatin,882
ARBURY ROAD SURGERY,Atorvastatin,844
ARC,Paracetamol,7
ARCADIAN GARDENS SURGERY,Atorvastatin,376
ARCH HEALTHCARE,Quetiapine,559
ARCHERS PRACTICE,Omeprazole,257
ARCHWAY MEDICAL CENTRE,Sertraline hydrochloride,288
ARCHWAY SURGERY,Atorvastatin,129
ARCHWOOD MEDICAL PRACTICE,Lansoprazole,620
ARDEN HOUSE MEDICAL PRACTICE,Atorvastatin,287
ARDEN MEDICAL CENTRE,Atorvastatin,284
ARDEN MEMORY SERVICES,Donepezil hydrochloride,26
ARDEN MH ACUTE TEAM,Diazepam,1
ARDINGLY COURT SURGERY,Atorvastatin,510
ARDWICK MEDICAL PRACTICE,Atorvastatin,297
ARGYLE HEALTH-ISLEWORTH PRACTICE,Atorvastatin,782
ARGYLL HOUSE,Omeprazole,509
ARLESEY MEDICAL CENTRE,Atorvastatin,316
ARLINGTON ROAD SURGERY,Atorvastatin,1216
ARNOLD MEDICAL CENTRE,Atorvastatin,530
ARNOS GROVE MEDICAL CENTR,Atorvastatin,376
ARRAN MEDICAL CENTRE,Atorvastatin,441
ARTHINGTON MEDICAL CENTRE,Atorvastatin,713
ARTHUR MEDICAL CENTRE,Atorvastatin,799
ARTHUR RANK HOSPICE,Levomepromazine hydrochloride,4
ARUNDEL SURGERY,Atorvastatin,312
ARYAN MEDICAL CENTRE,Atorvastatin,248
ASA MEDICAL GROUP,Atorvastatin,2107
ASCOT MEDICAL CENTRE,Atorvastatin,292
ASH GROVE,Ramipril,1345
ASH SURGERY,Omeprazole,244
ASH TREE HOUSE SURGERY,Atorvastatin,1142
ASH TREES SURGERY,Atorvastatin,2659
ASHBOURNE MEDICAL PRACTICE,Atorvastatin,1148
ASHBURN MEDICAL CENTRE,Atorvastatin,726
ASHBURNHAM ROAD SURGERY,Atorvastatin,169
ASHBURTON PARK MEDICAL CENTRE,Atorvastatin,318
ASHBURTON SURGERY,Atorvastatin,821
ASHBY TURN PRIMARY CARE PARTNERS,Atorvastatin,1617
ASHCHURCH SURGERY,Atorvastatin,464
ASHCROFT SURGERY,Atorvastatin,2245
ASHDOWN FOREST HEALTH CENTRE,Atorvastatin,1053
ASHFIELD HOUSE (ANNESLEY),Atorvastatin,657
ASHFIELD MEDICAL CENTRE,Atorvastatin,1295
ASHFIELD ROAD SURGERY,Atorvastatin,556
ASHFIELD SURGERY,Atorvastatin,797
ASHFIELDS PRIMARY CARE CENTRE,Atorvastatin,1650
ASHFORD ANTICOAGULATION SERVICE,Warfarin sodium,218
ASHFORD GROUP,Bisoprolol fumarate,6
ASHFORD HUB,Amoxicillin,1
ASHFORD MEDICAL PARTNERSHIP,Atorvastatin,1256
ASHFORD WIC,Flucloxacillin sodium,83
ASHGATE HOSPICE DAYCENTRE,Fentanyl,4
ASHINGDON MEDICAL CENTRE,Atorvastatin,385
ASHINGTON HOUSE SURGERY,Atorvastatin,798
ASHLEA MEDICAL PRACTICE,Atorvastatin,909
ASHLEY CENTRE SURGERY,Atorvastatin,379
ASHLEY MEDICAL PRACTICE,Atorvastatin,147
ASHLEY SURGERY,Atorvastatin,492
ASHMORE PARK MEDICAL CENTRE,Atorvastatin,255
ASHOVER MEDICAL CENTRE,Atorvastatin,236
ASHTON GARDENS SURGERY,Amlodipine,146
ASHTON GP SERVICE,Atorvastatin,307
ASHTON MEDICAL GROUP,Atorvastatin,1646
ASHTON VIEW MEDICAL CTR,Atorvastatin,234
"ASHTON, LEIGH & WIGAN OOH",Amoxicillin,153
ASHURST PRIMARY CARE,Atorvastatin,386
ASHVILLE MEDICAL CENTRE PMS PRACTICE,Atorvastatin,1112
ASHVILLE SURGERY,Atorvastatin,1248
ASHWELL MEDICAL CENTRE,Colecalciferol,1066
ASHWELL SURGERY,Atorvastatin,1023
ASHWORTH STREET SURGERY,Omeprazole,984
ASKERN MEDICAL PRACTICE,Atorvastatin,595
