Prescriber,Substancia,Maior_valor
ABOUT HEALTH,Isotretinoin,3171.18
AIREDALE NHS FOUNDATION TRUST,Wound Management & Other Dressings,540.69
ASHFORD & ST PETER'S HOSPITALS NHS FOUND,Phenoxymethylpenicillin (Penicillin V),3.06
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUS,Anal Irrigation System,5243.69
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,Melatonin,12598.7
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FO,Methylphenidate hydrochloride,481.95
BLACK COUNTRY HEALTHCARE NHS FOUNDATION ,Nystatin,6.78
BMI HEALTHCARE,Apremilast,514.28
BOLTON NHS FOUNDATION TRUST,Wound Management & Other Dressings,865.12
BRADFORD DISTRICT CARE NHS FOUNDATION TR,Quetiapine,395.03
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOU,Ustekinumab (Psoriasis),16060.25
BRISDOC HEALTHCARE SERVICES LTD,Nitrofurantoin,101.87
BROMLEY HEALTHCARE,Detection Sensor Interstitial Fluid/Gluc,1178.37
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Indwelling Pleural Cath Drain System,263.41
BURY METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,549.59
CENTRA AND NORTH WEST LONDON NHS FOUNDAT,Melatonin,273.88
CENTRAL LONDON COMMUNITY HEALTHCARE NHS ,Voriconazole,1185.02
"CHANGE, GROW, LIVE",Buprenorphine hydrochloride,15471.7
CHARING PRACTICE LTD,Finasteride,4.71
CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDA,Sacubitril/valsartan,941.87
CIRCLE,Apremilast,3306.13
CITY HEALTH CARE PARTNERSHIP CIC,Phosphates (Rectal),208.94
COASTAL HEALTH GP PROVIDER ORGANISATION,Etonogestrel,78.02
COMMUNITAS CLINICS,Fluticasone propionate (Nasal),764.89
CONCORDIA COMMUNITY OUTPATIENTS LTD,Isotretinoin,74.9
CONNECT HEALTH LIMITED,Sulfasalazine,110.02
CONSULTANT EYE SURGEONS PARTNERSHIP (CAN,Brinzolamide,2.23
COUNTESS MOUNTBATTEN HOSPICE,Haloperidol,53.89
COVENTRY AND WARWICKSHIRE PARTNERSHIP NH,Wound Management & Other Dressings,1389.06
CRANSTOUN,Buprenorphine hydrochloride,2465.55
"CUMBRIA,NORTHUMBERLAND,TYNE AND WEAR NHS",Buprenorphine hydrochloride,2760.96
DARLINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,448.28
DELPHI MEDICAL LTD,Buprenorphine hydrochloride,3769.5
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS,Sacubitril/valsartan,6164.96
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRU,Disulfiram,2677.72
DMC COMMUNITY OUTPATIENT SERVICES,Isotretinoin,2651.61
DURHAM COUNTY COUNCIL,Buprenorphine hydrochloride,633.62
EAST KENT HOSPITALS UNIVERSITY NHS FOUND,Clarithromycin,603.4
EAST LANCASHIRE MEDICAL SERVICES LTD,Nitrofurantoin,925.11
EAST LONDON NHS FOUNDATION TRUST,Lamivudine,275.03
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDAT,Lymphoedema Garments,1261.18
EAST SUSSEX HEALTHCARE NHS TRUST,Wound Management & Other Dressings,269.66
EDP DRUG AND ALCOHOL SERVICES,Buprenorphine hydrochloride,1293.85
EPSOM AND ST HELIER UNIVERSITY HOSPITALS,Detection Sensor Interstitial Fluid/Gluc,785.73
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDAT,Enteral nutrition,69.65
FAVERSHAM MEDICAL PRACTICE MIU,Flucloxacillin sodium,63.81
FRAMEWORK,Acamprosate calcium,97.56
GATESHEAD METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1373.86
GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Capsaicin,13.65
GLOUCESTERSHIRE HEALTH AND CARE NHS FOUN,Dulaglutide,342.52
GREAT WESTERN HOSPITALS NHS FOUNDATION T,Sacubitril/valsartan,256.87
GREATER MANCHESTER MENTAL HEALTH NHS FOU,Lisdexamfetamine dimesylate,1736.86
GREENBROOK HEALTHCARE,Prednisolone sodium phosphate,649.98
GTD HEALTHCARE,Rivaroxaban,1718.64
GUY'S AND ST THOMAS' NHS FOUNDATION TRUS,Wound Management & Other Dressings,3501.87
HARROGATE AND DISTRICT NHS FOUNDATION TR,Dapagliflozin,444.93
HARTLEPOOL BOROUGH COUNCIL,Other food for special diet preparations,62.9
HCRG CARE LTD,Levofloxacin,25.12
HCRG CARE SERVICES LTD,Ciclosporin,1596.17
HEALTHHARMONIE LIMITED,Hydrocortisone acetate,1704.48
HERE,Progesterone,302.46
HEREFORDSHIRE AND WORCESTERSHIRE HEALTH ,Rifaximin,406.9
HERNE BAY HEALTH CARE LTD,Rivaroxaban,13.58
