Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Abatacept,1965.6,1838.88,3394.75,283.01
Abiraterone,683.75,639.76,639.76,639.76
Absorbent Cottons,10.63,9.96,52.83,0.78
Acamprosate calcium,39.46,37.1,1395.13,0.25
Acarbose,28.23,26.52,284.63,0.57
Acebutolol hydrochloride,29.4,27.57,139.4,4.47
Aceclofenac,10.49,9.89,48.68,2.42
Acenocoumarol,6.9,6.51,69.25,0.16
Acetazolamide,11.05,10.44,1866.85,0.16
Acetic acid,7.74,7.26,65.41,3.84
Acetylcysteine,56.34,52.8,732.26,1.82
Aciclovir,8.92,8.42,591.1,0.11
Acipimox,53.79,50.46,260.09,11.67
Acitretin,53.61,50.24,573.08,0.57
Aclidinium bromide,106.44,99.61,2372.45,30.4
Aclidinium bromide/formoterol,114.09,106.76,1642.44,30.4
Acne Treatment,17.33,16.23,24.34,12.17
Acrivastine,26.75,25.07,230.64,1.86
Adalimumab,2479.03,2319.15,9882.85,296.49
Adapalene,31.12,29.13,399.95,15.37
Adapalene and benzoyl peroxide,45.06,42.18,1298.07,18.27
Adefovir dipivoxil,420.37,393.27,471.93,235.96
Adhesive (Pastes/Sprays/Solutions),20.64,19.32,111.47,9.13
Adhesive Discs/Rings/Pads/Plasters,58.63,54.88,5224.72,0.39
Adhesive Dressing Remover Ster Silicone,33.82,31.65,507.21,1.13
Adhesive Removers (Sprays/Liquids/Wipes),33.43,31.29,4175.54,0.42
Adrenaline,139.62,130.64,2695.88,0.96
Agomelatine,40.83,38.28,249.47,0.67
Albendazole,90.29,84.48,318.38,19.91
Alclometasone dipropionate,28.58,26.75,136.91,17.12
Alcohol,3.25,3.09,36.16,0.66
Alendronic acid,114.55,107.43,2866.38,0.18
Alendronic acid/colecalciferol,40.85,38.23,234.62,3.99
Alfacalcidol,20.72,19.42,591.92,0.16
Alfentanil hydrochloride,19.71,18.48,299.02,0.7
Alfuzosin hydrochloride,26.27,24.71,492.04,0.19
Alginic acid compound preparations,18.95,17.79,863.54,0.11
Alimemazine tartrate,394.19,368.8,4783.95,15.2
Alirocumab,488.73,457.22,628.68,314.33
Aliskiren,53.81,50.37,288.54,6.78
Alitretinoin,932.58,872.44,2771.28,461.89
Alkyl sulfate,3.52,3.3,14.61,2.44
Alkyl sulphate,9.35,8.77,75.94,4.04
Allopurinol,14.5,13.83,359.24,0.03
Almotriptan,36.67,34.33,795.94,7.5
Alogliptin,232.38,217.6,5701.22,1.0
Alogliptin/metformin,111.32,104.24,1941.94,0.56
Alprazolam,0.71,0.78,0.78,0.78
Alprostadil,63.54,59.48,639.95,6.88
Aluminium and magnesium and activated simeticone,7.41,6.96,43.61,1.2
Aluminium and magnesium and oxetacaine,41.45,39.05,239.62,11.75
Aluminium chloride,6.41,6.01,81.32,2.35
Alverine citrate,7.81,7.44,129.78,0.11
Alverine citrate/simeticone,14.03,13.15,61.82,1.71
Amantadine hydrochloride,34.55,32.42,1571.66,0.7
Amiloride hydrochloride,43.16,40.44,594.44,0.64
Amiloride hydrochloride with loop diuretics,102.57,96.0,419.12,11.56
Aminophylline,67.2,62.98,62.98,62.98
