Prescriber,Substancia,Maior_valor
ABOUT HEALTH,Isotretinoin,2558.95
AIREDALE NHS FOUNDATION TRUST,Wound Management & Other Dressings,231.44
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUS,Anal Irrigation System,3886.15
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,Melatonin,15821.88
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FO,Lisdexamfetamine dimesylate,599.45
BLACK COUNTRY HEALTHCARE NHS FOUNDATION ,Nystatin,5.09
BMI HEALTHCARE,Apremilast,1711.44
BOLTON NHS FOUNDATION TRUST,Venous Ulcer Compression System,1344.56
BRADFORD DISTRICT CARE NHS FOUNDATION TR,Lisdexamfetamine dimesylate,326.97
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOU,Ustekinumab (Psoriasis),8034.08
BRISDOC HEALTHCARE SERVICES LTD,Nitrofurantoin,121.52
BROMLEY HEALTHCARE,Detection Sensor Interstitial Fluid/Gluc,916.96
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Indwelling Pleural Cath Drain System,368.36
BURY METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,849.08
CENTRA AND NORTH WEST LONDON NHS FOUNDAT,Clonidine hydrochloride,805.36
CENTRAL LONDON COMMUNITY HEALTHCARE NHS ,Wound Management & Other Dressings,344.29
"CHANGE, GROW, LIVE",Buprenorphine hydrochloride,14164.73
CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDA,Sacubitril/valsartan,1027.99
CIRCLE,Apremilast,1653.94
CITY HEALTH CARE PARTNERSHIP CIC,Exenatide,153.24
COASTAL HEALTH GP PROVIDER ORGANISATION,Etonogestrel,234.18
COMMUNITAS CLINICS,Fluticasone propionate (Nasal),867.92
CONCORDIA COMMUNITY OUTPATIENTS LTD,Isotretinoin,35.07
CONNECT HEALTH LIMITED,Allopurinol,3.66
CONSULTANT EYE SURGEONS PARTNERSHIP (CAN,Brinzolamide,8.81
COUNTESS MOUNTBATTEN HOSPICE,Levetiracetam,476.42
COVENTRY AND WARWICKSHIRE PARTNERSHIP NH,Melatonin,2312.7
CRANSTOUN,Buprenorphine hydrochloride,1877.91
CSH SURREY,Colecalciferol,5.93
"CUMBRIA,NORTHUMBERLAND,TYNE AND WEAR NHS",Buprenorphine hydrochloride,3415.15
DARLINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,1121.26
DELPHI MEDICAL LTD,Buprenorphine hydrochloride,3423.95
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS,Sacubitril/valsartan,5139.99
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRU,Disulfiram,4160.07
DMC COMMUNITY OUTPATIENT SERVICES,Isotretinoin,2558.58
DURHAM COUNTY COUNCIL,Buprenorphine hydrochloride,1114.48
EAST CHESHIRE NHS TRUST,Estradiol and nomegestrol,18.55
EAST KENT HOSPITALS UNIVERSITY NHS FOUND,Flucloxacillin sodium,522.75
EAST LANCASHIRE MEDICAL SERVICES LTD,Nitrofurantoin,1059.06
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDAT,Dapagliflozin,1027.26
EAST SUSSEX HEALTHCARE NHS TRUST,Wound Management & Other Dressings,1857.76
EDP DRUG AND ALCOHOL SERVICES,Buprenorphine hydrochloride,1213.23
EPSOM AND ST HELIER UNIVERSITY HOSPITALS,Lidocaine hydrochloride,67.74
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDAT,Ciprofloxacin,79.68
FAVERSHAM MEDICAL PRACTICE MIU,Nitrofurantoin,50.96
FRAMEWORK,Disulfiram,138.84
GATESHEAD METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,1923.91
GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Capsaicin,13.65
GLOUCESTERSHIRE HEALTH AND CARE NHS FOUN,Dulaglutide,479.76
GREAT WESTERN HOSPITALS NHS FOUNDATION T,Sacubitril/valsartan,171.33
GREATER MANCHESTER MENTAL HEALTH NHS FOU,Methylphenidate hydrochloride,1446.56
GREENBROOK HEALTHCARE,Prednisolone sodium metasulphobenzoate,575.2
GTD HEALTHCARE,Rivaroxaban,1345.88
GUY'S AND ST THOMAS' NHS FOUNDATION TRUS,Wound Management & Other Dressings,3776.62
HARROGATE AND DISTRICT NHS FOUNDATION TR,Other individually formulated bought in preparations,570.12
HARTLEPOOL BOROUGH COUNCIL,Other emollient preparations,5.47
HCRG CARE LTD,Skin Fillers And Protectives,27.89
HCRG CARE SERVICES LTD,Clonidine hydrochloride,4026.83
HEALTHHARMONIE LIMITED,Isotretinoin,1249.53
HERE,Nitrofurantoin,418.22
HEREFORDSHIRE AND WORCESTERSHIRE HEALTH ,Catheters,545.69
HERNE BAY HEALTH CARE LTD,Ferrous gluconate,3.46
HERTFORDSHIRE COMMUNITY NHS TRUST,Calcium folinate,3508.58
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDAT,Lymphoedema Garments,1677.22
HUMANKIND,Buprenorphine hydrochloride,3447.35
HUMBER TEACHING NHS FOUNDATION TRUST,Wound Management & Other Dressings,120.89
