Prescriber,Substancia,Quantidade
(FRACTURE CLINIC) NORTH OOH,Amoxicillin,423
(IRLAM) SALFORD CARE CTRS MEDICAL PRACTI,Atorvastatin,299
(OUT PATIENT DEPARTMENT) NORTH OOH,Amisulpride,1
0-19 EAST CHESHIRE HEALTH VISITORS,Other barrier preparations,1
0-19 PUBLIC HEALTH SERVICE HARTLEPOOL,Clotrimazole,1
1 TO 1 CENTRE,Co-amoxiclav (Amoxicillin/clavulanic acid),1
1/MONTON MEDICAL PRACTICE,Atorvastatin,786
1/SALFORD MEDICAL PRACTICE,Atorvastatin,416
15 SEFTON ROAD,Atorvastatin,547
168 MEDICAL GROUP,Atorvastatin,1677
19 BEAUMONT STREET SURGERY,Atorvastatin,488
240 WEXHAM ROAD,Atorvastatin,574
27@NORTHGATE,Atorvastatin,213
28@NORTHGATE,Colecalciferol,202
3/LOWER BROUGHTON MEDICAL PRACTICE,Atorvastatin,1095
3/SPRINGFIELD HOUSE MEDICAL PRACTICE,Atorvastatin,1516
301 EAST STREET SURGERY,Atorvastatin,418
3D MEDICAL CENTRE,Atorvastatin,111
3VH RHEUMATOLOGY,Methotrexate,39
3W HEALTH,Atorvastatin,1707
4 SEASONS MEDICAL CENTRE,Atorvastatin,270
42 KINGSWAY,Atorvastatin,748
49 MARINE AVENUE SURGERY,Atorvastatin,548
7 DAY ACCESS LITTLEBOROUGH HUB,Amoxicillin,13
7 DAY ACCESS MIDDLETON HC,Amoxicillin,17
7 DAY ACCESS PHOENIX HUB,Amoxicillin,10
7 DAY ACCESS ROCHDALE INFIRMARY HUB,Amoxicillin,1
7 DAY GP SERVICE,Amoxicillin,41
8 TO 8 TOP-UP HUB ERITH,Amoxicillin,61
8 TO 8 TOP-UP HUB QMH,Amoxicillin,22
A & E NON MEDICAL PRESCRIBERS,Co-amoxiclav (Amoxicillin/clavulanic acid),6
A&E GPS,Flucloxacillin sodium,6
ABBAMOOR SURGERY,Atorvastatin,150
ABBEY DALE MEDICAL CENTRE,Omeprazole,642
ABBEY FIELD MEDICAL CENTRE,Atorvastatin,1788
ABBEY GRANGE MEDICAL PRACTICE,Atorvastatin,609
ABBEY HOUSE MEDICAL PRACTICE,Atorvastatin,1914
ABBEY MEADS MEDICAL PRACT,Atorvastatin,1409
ABBEY MEDICAL CENTRE,Atorvastatin,2846
ABBEY MEDICAL GROUP,Atorvastatin,1328
ABBEY MEDICAL PRACTICE,Atorvastatin,4144
ABBEY ROAD MEDICAL PRACTICE,Atorvastatin,672
ABBEY ROAD SURGERY,Atorvastatin,1271
ABBEY SURGERY,Omeprazole,1771
ABBEY WOOD SURGERY,Atorvastatin,500
ABBEYSLADE PMS (DR CHAND),Atorvastatin,319
ABBEYVIEW SURGERY,Atorvastatin,1122
ABBEYWELL SURGERY,Ramipril,1316
ABBOTS BROMLEY SURGERY,Atorvastatin,362
ABBOTSWOOD MEDICAL CENTRE,Atorvastatin,261
ABBOTTSWOOD MEDICAL CENTRE,Atorvastatin,1041
ABERCROMBY FAMILY PRACTICE,Atorvastatin,458
ABERFELDY PRACTICE,Atorvastatin,606
ABERNETHY HOUSE SURGERY,Atorvastatin,999
ABH MANCHESTER & TRAFFORD CDS,Isotretinoin,269
ABINGDON FAMILY HEALTH CARE CENTRE,Atorvastatin,351
