YEAR_MONTH,PRACTICE_NAME
202207,WATERLOO MEDICAL CENTRE
202207,HELSBY STREET MED/CTR
202207,GTD HEALTHCARE CHORLEY OOH
202207,BLUNDELLSANDS SURGERY
202207,HMP HEWELL
202207,MERIDIAN HEALTH GROUP
202207,MATERNAL MENTAL HEALTH TEAM
202207,HEREFORDSHIRE MH OA COMMUNITY
202207,HONITON SURGERY
202207,MOORDOWN MEDICAL CENTRE
202207,WARMDENE SURGERY
202207,PARK ROAD GROUP PRACTICE
202207,HILLFOOT SURGERY
202207,DR JJ MCPEAKES PRACTICE
202207,MARITIME HEALTH PARTNERSHIP
202207,DARTFORD EAST HEALTH CENTRE
202207,BRIGSTOCK & SOUTH NORWOOD PARTNERSHIP
202207,DR EARNSHAW AND PARTNERS
202207,MADEIRA MEDICAL
202207,PROCARE HEALTH SERVICES
202207,THE WOOTTONS SURGERY
202207,THE STATHAM GROVE SURGERY
202207,WESTERN AVENUE SURGERY
202207,EASTBURY SURGERY
202207,KILBURN PARK MEDICAL CENTRE
202207,THE LONSDALE MEDICAL CENTRE
202207,ALPERTON MEDICAL CENTRE
202207,PARSONS GREEN WIC
202207,PERRY TREE CENTRE
202207,MARSTON FOREST HEALTHCARE
202207,FIRECLAY HEALTH
202207,ACORN SURGERY
202207,BEECH TREE MEDICAL PRACTICE
202207,STOCKINGFORD MEDICAL CENTRE
202207,REETH MEDICAL CENTRE
202207,EAST LANCASHIRE HOSPICE
202207,THE BANKS SURGERY
202207,DESFORD MEDICAL CENTRE
202207,THE PATEL PRACTICE
202207,DERMATOLOGY SERVICE
202207,FOUNTAIN MEDICAL CENTRE
202207,COURT STREET MEDICAL PRACTICE
202207,PEEL CROFT
202207,PARK MEDICAL PRACTICE
202207,RECOVERY STEPS CUMBRIA
202207,RENACRES HOSPITAL
202207,OXFORD HEALTH FT COMM NMP
202207,BSUH DERMATOLOGY SERVICE
202207,MID DEVON MEDICAL PRACTICE
202207,DEVON SQUARE SURGERY
202207,HWLH DERMATOLOGY SERVICE
202207,THE HEATH SURGERY
202207,COMMUNITY NON-MEDICAL PRESCRIBERS
202207,FORRESTER STREET MEDICAL CENTRE
202207,DOG KENNEL LANE SURGERY
202207,CONTINENCE SERVICE CGH
