Prescricao,Quantidade
Omeprazole 20mg gastro-resistant capsules,2659334
Atorvastatin 20mg tablets,2349300
Amlodipine 5mg tablets,1748969
Lansoprazole 30mg gastro-resistant capsules,1633842
Atorvastatin 40mg tablets,1309360
Aspirin 75mg dispersible tablets,1304558
Metformin 500mg tablets,1191745
Paracetamol 500mg tablets,1190101
Amlodipine 10mg tablets,1148598
Lansoprazole 15mg gastro-resistant capsules,1023698
Levothyroxine sodium 100microgram tablets,990198
Sertraline 50mg tablets,973841
Clopidogrel 75mg tablets,930364
Bisoprolol 2.5mg tablets,889385
Levothyroxine sodium 50microgram tablets,865053
Amitriptyline 10mg tablets,861663
Ramipril 10mg capsules,855539
Levothyroxine sodium 25microgram tablets,839955
Sertraline 100mg tablets,835261
Salbutamol 100micrograms/dose inhaler CFC free,829106
Folic acid 5mg tablets,748881
Simvastatin 40mg tablets,702114
Tamsulosin 400microgram modified-release capsules,690876
Ramipril 2.5mg capsules,685900
Citalopram 20mg tablets,670625
Atorvastatin 80mg tablets,667481
Ramipril 5mg capsules,659493
Furosemide 40mg tablets,588281
Bisoprolol 1.25mg tablets,570007
Atorvastatin 10mg tablets,558850
Bendroflumethiazide 2.5mg tablets,553879
Fluoxetine 20mg capsules,551744
Simvastatin 20mg tablets,545917
Bisoprolol 5mg tablets,501836
Apixaban 5mg tablets,490539
Co-codamol 30mg/500mg tablets,434432
Alendronic acid 70mg tablets,432401
Tramadol 50mg capsules,397025
Naproxen 500mg tablets,391605
Ventolin 100micrograms/dose Evohaler,380252
Mirtazapine 15mg tablets,365821
Losartan 100mg tablets,363843
Furosemide 20mg tablets,362214
Gabapentin 300mg capsules,360006
Citalopram 10mg tablets,353998
Fostair 100micrograms/dose / 6micrograms/dose inhaler,352340
Losartan 50mg tablets,351186
Allopurinol 100mg tablets,345313
Finasteride 5mg tablets,343927
Zapain 30mg/500mg tablets,337424
Prednisolone 5mg tablets,337027
Gliclazide 80mg tablets,333840
Senna 7.5mg tablets,331707
Ferrous fumarate 210mg tablets,327034
Indapamide 2.5mg tablets,319425
Flucloxacillin 500mg capsules,315313
Amoxicillin 500mg capsules,311734
Nitrofurantoin 100mg modified-release capsules,308035
Montelukast 10mg tablets,305891
Mirtazapine 30mg tablets,297389
Cetirizine 10mg tablets,291292
Ramipril 1.25mg capsules,290744
Salamol 100micrograms/dose inhaler CFC free (Teva),284844
Mirtazapine 45mg tablets,282009
Doxazosin 4mg tablets,274748
Fexofenadine 180mg tablets,273181
Ferrous sulfate 200mg tablets,269000
Codeine 30mg tablets,268089
Rivaroxaban 20mg tablets,262954
Adcal-D3 chewable tablets tutti frutti,262143
Propranolol 40mg tablets,261740
Amitriptyline 25mg tablets,254224
Dapagliflozin 10mg tablets,251750
Carbocisteine 375mg capsules,247068
Thiamine 100mg tablets,247013
Aspirin 75mg gastro-resistant tablets,246614
Metformin 500mg modified-release tablets,242166
Hydroxocobalamin 1mg/1ml solution for injection ampoules,242028
Lisinopril 20mg tablets,235991
Doxycycline 100mg capsules,228762
Apixaban 2.5mg tablets,226947
Atenolol 50mg tablets,223447
Zopiclone 7.5mg tablets,222769
Laxido Orange oral powder sachets sugar free,222561
Clenil Modulite 100micrograms/dose inhaler,221475
Linagliptin 5mg tablets,219119
Allopurinol 300mg tablets,215007
Lisinopril 10mg tablets,209721
Spironolactone 25mg tablets,208021
Lactulose 3.1-3.7g/5ml oral solution,206756
Ezetimibe 10mg tablets,205461
Losartan 25mg tablets,199824
Desogestrel 75microgram tablets,199512
Bisoprolol 10mg tablets,198602
Adcal-D3 750mg/200unit caplets,197670
Diazepam 2mg tablets,196878
Candesartan 8mg tablets,192005
Mometasone 50micrograms/dose nasal spray,190200
Docusate 100mg capsules,189553
Sukkarto SR 500mg tablets,188136
